id,pop,lat,lon,Microchip,Weight,Sex,AgeClass,concentration,PlateID,Row,Column,order_dart,id_b
E1,R_B_ECUM_1,-36.164286,148.622989,0007923CDF,1.12,M,SA,2.1,1,A,1,1,R_B_ECUM_1_1
E73,U_SNOW_10,-36.480859,148.774219,0007A3C2D7,0.94,F,A,3.26,1,A,10,2,U_SNOW_10_1
E81,U_SNOW_11,-36.501988,148.831949,0007A371E1,,F,A,8.38,1,A,11,3,U_SNOW_11_1
E89,U_SNOW_9,-36.46894,148.722478,0007A0830E,1.18,M,A,2.5,1,A,12,4,U_SNOW_9_1
E9,R_B_ECUM_5,-36.222028,148.632604,0007923B98,1.09,M,A,2.14,1,A,2,5,R_B_ECUM_5_1
E17,U_THRED_3,-36.44681,148.424506,00079F6114,0.7,F,A,3.96,1,A,3,6,U_THRED_3_1
E25,U_SNOW_10,-36.480859,148.774219,00079FBEEB,1.55,M,A,16.4,1,A,4,7,U_SNOW_10_2
E33,U_SNOW_10,-36.480859,148.774219,0007A31D95,1,F,A,5.6,1,A,5,8,U_SNOW_10_3
E41,U_SNOW_1,-36.439499,148.63292,0007A3300A,0.52,M,J,9.6,1,A,6,9,U_SNOW_1_1
E49,U_SNOW_6,-36.446267,148.661103,0007A33158,1.4,M,A,4.44,1,A,7,10,U_SNOW_6_1
E57,U_SNOW_10,-36.480859,148.774219,0007A3F77B,0.71,F,A,3.14,1,A,8,11,U_SNOW_10_4
E65,R_A_ECUM_2,-35.918995,148.540494,0007A3EE79,0.58,F,J,9.62,1,A,9,12,R_A_ECUM_2_1
E2,R_B_ECUM_1,-36.164286,148.622989,0007922B7F,,F,A,4.68,1,B,1,13,R_B_ECUM_1_2
E74,R_B_ECUM_2,-36.180689,148.634867,0007A0836C,1.47,M,A,4.96,1,B,10,14,R_B_ECUM_2_1
E82,U_SNOW_11,-36.501988,148.831949,0007A316B7,1.37,M,A,14.2,1,B,11,15,U_SNOW_11_2
E90,U_THRED_4,-36.438257,148.443454,0007A34970,,F,J,7.78,1,B,12,16,U_THRED_4_1
E10,R_B_ECUM_5,-36.222028,148.632604,0007923CA0,0.94,F,A,2.76,1,B,2,17,R_B_ECUM_5_2
E18,R_B_ECUM_3,-36.181475,148.633916,0007923D91,1.27,M,A,13.3,1,B,3,18,R_B_ECUM_3_1
E26,U_SNOW_4,-36.447367,148.648261,0007A35846,0.93,F,A,9.1,1,B,4,19,U_SNOW_4_1
