Name,Population,lat,lon,Location,dam
FA620,NEPEAN_ABOVE,-34.455473,150.530832,Chalkers Crossing,above
FA654,NEPEAN_ABOVE,-34.455473,150.530832,Chalkers Crossing,above
FJ582,NEPEAN_ABOVE,-34.455473,150.530832,Chalkers Crossing,above
MA462,NEPEAN_ABOVE,-34.455473,150.530832,Chalkers Crossing,above
MA472,NEPEAN_ABOVE,-34.455473,150.530832,Chalkers Crossing,above
FA585,NEPEAN_ABOVE,-34.476935,150.534132,McGuires Crossing,above
FA586,NEPEAN_ABOVE,-34.476935,150.534132,McGuires Crossing,above
FA653,NEPEAN_ABOVE,-34.476935,150.534132,McGuires Crossing,above
FA655,NEPEAN_ABOVE,-34.476935,150.534132,McGuires Crossing,above
MA447,NEPEAN_ABOVE,-34.476935,150.534132,McGuires Crossing,above
MA461,NEPEAN_ABOVE,-34.476935,150.534132,McGuires Crossing,above
FA686,NEPEAN_BELOW,-34.330156,150.628464,Avon Dam Road D/S,below
MA493,NEPEAN_BELOW,-34.330156,150.628464,Avon Dam Road D/S,below
MJ494,NEPEAN_BELOW,-34.330156,150.628464,Avon Dam Road D/S,below
FA606,NEPEAN_BELOW,-34.330219,150.625536,Avon Dam Road U/S,below
MJ491,NEPEAN_BELOW,-34.330219,150.625536,Avon Dam Road U/S,below
MA492,NEPEAN_BELOW,-34.330219,150.625536,Avon Dam Road U/S,below
MJ495,NEPEAN_BELOW,-34.330219,150.625536,Avon Dam Road U/S,below
FA621,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
FA623,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
FA648,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
FA649,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
FA650,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
FA651,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
FJ652,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
MA416,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
MA417,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
MA450,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
MA451,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
MA470,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
MJ448,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
MJ449,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
MJ468,WINGECARRIBEE,-34.4118,150.195105,unreg_1,no
FA492,WINGECARRIBEE,-34.437121,150.189959,unreg_2,no
FA579,WINGECARRIBEE,-34.437121,150.189959,unreg_2,no
FA624,WINGECARRIBEE,-34.437121,150.189959,unreg_2,no
FA643,WINGECARRIBEE,-34.437121,150.189959,unreg_2,no
FJ644,WINGECARRIBEE,-34.437121,150.189959,unreg_2,no
MA452,WINGECARRIBEE,-34.437121,150.189959,unreg_2,no
MA465,WINGECARRIBEE,-34.437121,150.189959,unreg_2,no
FA581,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FA628,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FA629,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FA629,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FA630,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FA631,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FA632,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FA645,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FA646,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FJ626,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
FJ647,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
MA000,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
MA418,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
MA421,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
MA454,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
MA455,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
MA456,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
MA466,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
MA467,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
MJ422,WINGECARRIBEE,-34.448776,150.18002,unreg_3,no
